City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,78.48,Clear,-23.1203,-134.9692,People ThankYou
7,Arraial Do Cabo,BR,72.18,Clear,-22.9661,-42.0278,Pousada Porto Praia
10,Bambous Virieux,MU,76.21,Thunderstorm,-20.3428,57.7575,Casa Tia Villa
21,Saint-Philippe,RE,74.21,Rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
29,Atuona,PF,79.74,Clouds,-9.8,-139.0333,Villa Enata
46,Maragogi,BR,78.46,Clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
49,Victoria,HK,74.17,Clouds,22.2855,114.1577,Mini Hotel Central
53,Carnarvon,AU,73.47,Clouds,-24.8667,113.6333,Hospitality Carnarvon
62,Mahebourg,MU,76.24,Thunderstorm,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
64,Grand-Santi,GF,71.38,Clouds,4.25,-54.3833,Hotel La Villa Couacou
68,Cocorit,MX,79.14,Clouds,27.5833,-109.9667,Kaba Motel
69,Marovoay,MG,73.65,Clouds,-16.1,46.6333,Hôtel les Oliviers Marovoay
70,Saint-Joseph,RE,73.2,Clear,-21.3667,55.6167,"""Plantation Bed and Breakfast"
76,La Orilla,MX,72.99,Clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
87,Changji,CN,70.59,Clear,44.0167,87.3167,Lvye Holiday Resort
91,Asyut,EG,79.86,Clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
95,Odweyne,SO,71.76,Clear,9.4092,45.064,Eng Hiirey House
99,Vila Velha,BR,75.15,Clouds,-20.3297,-40.2925,Hotel Vitória Palace
100,Inirida,CO,73.51,Clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
101,Hilo,US,76.28,Rain,19.7297,-155.09,Hilo Hawaiian Hotel
104,Geraldton,AU,72.01,Clear,-28.7667,114.6,Broadwater Mariner Resort
116,Les Cayes,HT,76.3,Clouds,18.2,-73.75,Villa Orphee
118,San Patricio,US,76.87,Clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
