City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Thunder Bay,CA,48.4001,-89.3168,29.28,83,100,10.36,Clouds
1,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,5.75,Clouds
2,Hithadhoo,MV,-0.6,73.0833,82.99,75,29,10.4,Clouds
3,Rikitea,PF,-23.1203,-134.9692,78.48,63,2,10.27,Clear
4,Ust-Ishim,RU,57.6935,71.1665,32.72,74,88,4.18,Clouds
5,Urumqi,CN,43.801,87.6005,67.15,7,0,13.42,Clear
6,Lebu,CL,-37.6167,-73.65,52.25,91,21,7.14,Clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,72.18,71,0,7.38,Clear
8,Cape Town,ZA,-33.9258,18.4232,61.92,80,0,9.22,Clear
9,Airai,TL,-8.9266,125.4092,73.99,60,100,1.41,Clouds
10,Bambous Virieux,MU,-20.3428,57.7575,76.21,94,75,1.14,Thunderstorm
11,Ciudad Bolivar,VE,8.1222,-63.5497,83.93,55,39,14.14,Clouds
12,Saskylakh,RU,71.9167,114.0833,29.44,96,100,10.02,Snow
13,Cayenne,GF,4.9333,-52.3333,81.09,1,20,5.01,Clouds
14,Ushuaia,AR,-54.8,-68.3,44.26,93,100,9.22,Clouds
15,New Norfolk,AU,-42.7826,147.0587,60.93,45,100,4.0,Clouds
16,Kenora,CA,49.8167,-94.4337,27.57,93,100,8.05,Mist
17,Langsa,ID,4.4683,97.9683,83.71,71,100,3.29,Clouds
18,Bethel,US,41.3712,-73.414,42.89,55,0,3.44,Clear
19,Carballo,ES,43.213,-8.691,56.55,94,100,7.34,Clouds
20,Lanzhou,CN,36.0564,103.7922,48.58,29,3,3.74,Clear
21,Saint-Philippe,RE,-21.3585,55.7679,74.21,89,14,9.46,Rain
22,Busselton,AU,-33.65,115.3333,63.68,59,92,4.16,Clouds
23,San Jeronimo,PE,-11.9472,-75.2829,48.31,84,53,3.11,Clouds
24,Moron,AR,-34.6534,-58.6198,65.97,86,100,5.95,Clouds
25,Jamestown,US,42.097,-79.2353,34.02,53,0,4.61,Clear
26,Kavieng,PG,-2.5744,150.7967,85.95,65,39,13.73,Clouds
27,Miri,MY,4.4148,114.0089,87.94,74,40,9.22,Clouds
28,Broken Hill,AU,-31.95,141.4333,83.91,21,40,14.97,Clouds
29,Atuona,PF,-9.8,-139.0333,79.74,79,12,18.3,Clouds
30,Albany,US,42.6001,-73.9662,39.58,62,7,6.87,Clear
31,Port Augusta,AU,-32.5,137.7667,69.91,55,100,14.74,Clouds
32,Kavaratti,IN,10.5669,72.642,83.35,71,83,2.68,Clouds
33,Atar,MR,20.5169,-13.0499,85.69,12,100,3.98,Clouds
34,Warrnambool,AU,-38.3833,142.4833,58.8,78,100,12.12,Clouds
35,Liverpool,GB,53.4106,-2.9779,51.62,82,4,10.36,Clear
36,Talnakh,RU,69.4865,88.3972,4.21,93,100,5.21,Clouds
37,Port Blair,IN,11.6667,92.75,86.04,66,20,3.44,Clouds
38,Vardo,NO,70.3705,31.1107,39.51,92,99,10.04,Clouds
39,Avarua,CK,-21.2078,-159.775,80.65,69,20,4.61,Clouds
40,Labuhan,ID,-6.8844,112.2051,85.14,73,63,3.76,Clouds
41,Port Moresby,PG,-9.4431,147.1797,90.82,62,40,14.97,Haze
42,Pringsewu,ID,-5.3582,104.9744,84.45,70,84,2.82,Clouds
43,Rojhan,PK,28.6868,69.9534,86.4,27,100,7.11,Clouds
44,East London,ZA,-33.0153,27.9116,64.58,83,5,13.53,Clear
45,Mae Hong Son,TH,19.3003,97.9685,84.34,65,20,2.3,Clouds
46,Maragogi,BR,-9.0122,-35.2225,78.46,82,100,7.27,Clouds
47,Taldan,RU,53.6667,124.8,37.65,59,100,9.35,Rain
48,Longyearbyen,SJ,78.2186,15.6401,21.04,86,100,4.61,Snow
49,Victoria,HK,22.2855,114.1577,74.17,82,96,1.01,Clouds
50,Constitucion,CL,-35.3333,-72.4167,51.39,92,57,6.46,Clouds
51,Davila,PH,18.4726,120.5763,87.78,65,100,12.97,Clouds
52,Mataura,NZ,-46.1927,168.8643,61.48,46,20,2.84,Clouds
53,Carnarvon,AU,-24.8667,113.6333,73.47,68,88,16.11,Clouds
54,Bluff,NZ,-46.6,168.3333,62.8,63,78,0.69,Clouds
55,Donja Dubica,BA,45.075,18.4114,36.27,75,1,4.32,Clear
56,La Ronge,CA,55.1001,-105.2842,32.25,51,40,2.3,Clouds
